Data,Precipitacao,TempMinima,TempMaxima
03/06/2003,0.0,17.9,26.5
03/06/2004,3.5,14.7,18.1
03/06/2005,0.0,15.0,25.8
03/06/2006,0.0,13.8,20.3
03/06/2007,12.6,14.2,20.4
03/06/2008,0.0,13.7,23.9
03/06/2009,0.0,8.6,18.0
03/06/2010,0.0,13.9,21.3
03/06/2011,0.0,12.2,23.2
03/06/2012,0.0,16.7,26.5
03/06/2013,8.3,14.1,19.4
03/06/2014,0.0,9.8,19.5
03/06/2015,0.0,15.0,21.7
03/06/2016,8.4,15.1,20.8
03/06/2017,0.0,12.9,24.0
03/06/2018,0.8,13.7,22.5
03/06/2019,16.9,16.5,20.8
03/07/2000,0.0,14.4,22.3
03/07/2001,0.0,12.7,26.0
03/07/2002,0.0,15.1,23.0
03/07/2003,0.0,11.1,22.3
03/07/2004,0.0,15.2,26.8
03/07/2005,0.0,15.4,26.6
03/07/2006,1.0,13.1,20.5
03/07/2007,0.0,10.3,21.9
03/07/2008,0.0,14.4,24.7
03/07/2009,7.9,12.5,17.0
03/07/2010,0.0,11.5,24.7
03/07/2011,0.0,13.9,20.5
03/07/2012,0.0,15.0,26.1
03/07/2013,0.1,13.1,20.7
03/07/2014,0.0,15.8,28.8
03/07/2015,17.8,15.6,18.4
03/07/2016,0.0,14.0,26.4
03/07/2017,0.0,10.5,16.0
03/07/2018,0.0,16.2,24.7
03/07/2019,0.0,18.9,26.7
03/08/2000,0.0,14.2,21.0
03/08/2001,0.0,12.4,26.3
03/08/2002,12.3,14.9,20.7
03/08/2003,0.0,14.5,24.3
03/08/2004,0.0,13.1,23.7
03/08/2005,0.0,13.0,26.8
03/08/2006,0.0,13.4,20.8
03/08/2007,0.0,14.2,24.8
03/08/2008,14.2,14.1,22.6
03/08/2009,0.0,16.1,23.0
03/08/2010,0.0,12.8,15.7
03/08/2011,0.0,10.2,19.6
03/08/2012,0.0,14.8,26.5
03/08/2013,0.0,15.4,29.9
03/08/2014,0.0,14.5,29.8
03/08/2015,0.0,14.9,26.9
03/08/2016,0.0,13.7,22.2
03/08/2017,0.0,15.2,21.7
03/08/2018,0.0,13.6,16.2
03/08/2019,2.4,10.4,15.1
03/09/2000,11.2,11.2,13.8
03/09/2001,0.0,17.7,30.9
03/09/2002,0.0,5.7,24.5
03/09/2003,0.0,11.4,22.0
03/09/2004,0.0,18.4,29.6
03/09/2005,0.0,13.3,24.0
03/09/2006,0.0,13.7,25.1
03/09/2007,13.6,15.4,27.8
03/09/2008,0.0,15.3,31.3
03/09/2009,0.0,18.1,31.9
03/09/2010,0.0,17.2,31.9
03/09/2011,0.0,8.7,23.3
03/09/2012,0.0,15.6,25.9
03/09/2013,0.0,16.2,23.9
03/09/2014,17.6,15.1,25.7
03/09/2015,0.0,14.8,25.0
03/09/2016,0.0,16.0,25.4
03/09/2017,0.0,12.6,26.8
03/09/2018,0.0,15.1,26.0
03/09/2019,0.0,15.4,22.9
03/10/2000,0.0,18.0,31.8
03/10/2001,0.0,15.1,24.8
03/10/2002,0.0,14.9,29.9
03/10/2003,0.0,16.7,29.8
03/10/2004,10.5,16.0,19.7
03/10/2005,12.6,15.3,26.7
03/10/2006,0.3,18.2,29.5
03/10/2007,0.0,13.5,25.3
03/10/2008,0.0,17.4,27.7
03/10/2009,0.0,16.8,25.1
03/10/2010,1.4,13.9,18.6
03/10/2011,12.4,16.8,24.9
03/10/2012,0.0,18.9,34.5
03/10/2013,0.0,17.2,20.7
03/10/2014,0.4,11.6,20.2
03/10/2015,25.0,16.1,25.0
03/10/2016,0.0,15.6,17.2
03/10/2017,17.6,14.8,23.2
03/10/2018,0.0,19.9,31.9
03/11/2000,0.0,18.9,27.9
03/11/2001,0.0,14.3,18.3
03/11/2002,0.0,15.9,31.5
03/11/2003,1.3,12.2,16.9
03/11/2004,0.0,18.9,32.3
03/11/2005,0.0,16.7,24.9
03/11/2006,8.5,19.5,28.0
03/11/2007,26.2,19.2,28.7
03/11/2008,2.8,19.2,27.9
03/11/2009,0.0,18.2,33.6
03/11/2010,0.0,15.7,27.6
03/11/2011,0.0,12.3,22.3
03/11/2012,0.0,16.7,23.5
03/11/2013,0.0,16.4,32.5
03/11/2014,0.0,19.5,30.5
03/11/2015,3.4,19.5,25.6
03/11/2016,7.0,16.0,23.2
03/11/2017,0.0,14.8,31.5
03/11/2018,0.0,19.1,31.4
03/12/2000,0.0,17.5,30.6
03/12/2001,0.0,14.7,27.5
03/12/2002,4.9,20.3,25.3
03/12/2003,0.0,20.4,32.0
03/12/2004,0.0,17.6,20.3
03/12/2005,0.9,14.7,19.6
03/12/2006,0.0,18.4,31.1
03/12/2007,0.0,16.3,32.5
03/12/2008,24.2,15.5,23.7
03/12/2009,0.0,20.7,29.6
03/12/2010,4.9,21.3,31.2
03/12/2011,0.0,14.6,23.1
03/12/2012,2.2,19.3,28.9
03/12/2013,1.2,22.0,31.8
03/12/2014,0.0,20.9,30.3
03/12/2015,0.0,20.2,26.1
03/12/2016,0.0,18.0,29.9
03/12/2017,0.0,18.6,28.5
